Mode,Compile Success,Compile Warning Count,Compile Error Count,Compile Error Types
continue_cql,False,0,1,"{""CompilerError"": 1}"
continue_cql_unit_test,True,0,0,{}
continue_n3,False,0,1,"{""CompilerError"": 1}"
continue_n3_unit_test,True,0,0,{}
continue_unit_test,True,0,0,{}
use_original_cql,True,0,0,{}
use_original_n3,False,0,1,"{""ParserError"": 1}"
use_original_unit_test,True,0,0,{}
use_previous_cql,True,0,0,{}
use_previous_cql_unit_test,True,0,0,{}
use_previous_n3,False,0,1,"{""CompilerError"": 1}"
use_previous_n3_unit_test,True,0,0,{}
use_previous_unit_test,True,0,0,{}
